Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,All,Total ,"1,535.2","1,581.9","1,606.7","1,701.0","1,839.4","1,933.5","2,124.1","2,262.4","2,421.4","2,479.4","2,548.7","2,767.5","2,850.1","2,881.7","3,058.6","3,203.1","3,493.6","3,860.4","4,235.1","4,237.6","4,735.4","5,447.0","6,022.3","6,622.7","6,931.2","7,425.1","8,250.8"
Wine,Standard,Total ,"1,404.8","1,438.8","1,461.8","1,546.9","1,667.1","1,752.7","1,917.1","2,046.5","2,201.7","2,272.7","2,344.6","2,545.6","2,624.3","2,674.7","2,852.5","2,996.9","3,268.1","3,618.3","3,970.0","3,996.0","4,449.6","5,125.6","5,676.8","6,247.6","6,500.0","6,888.2","7,536.6"
Wine,Standard,United States,243.0,214.0,219.5,225.0,239.5,249.0,259.0,279.5,296.8,322.0,343.8,371.3,398.8,443.5,500.3,572.5,682.3,803.0,975.5,"1,099.3","1,337.6","1,652.3","1,989.8","2,365.0","2,463.8","2,893.3","3,337.5"
Wine,Standard,Ireland,537.5,546.0,513.0,524.5,526.0,517.5,536.4,545.1,546.0,583.1,586.4,584.7,564.9,475.4,473.0,471.4,470.5,473.4,448.0,404.4,404.3,426.1,484.5,468.8,413.9,434.6,444.2
Wine,Standard,France,92.0,118.0,137.0,151.0,161.0,181.0,225.0,255.0,289.0,327.0,340.0,393.0,399.5,398.0,398.0,379.0,379.8,370.3,370.0,353.0,380.0,376.0,365.3,364.0,364.0,358.3,345.3
Wine,Standard,South Africa,7.0,6.5,7.0,8.0,9.5,11.5,20.5,24.8,26.3,29.5,30.3,34.0,36.5,40.5,62.0,87.5,131.0,168.0,195.0,200.5,208.0,209.5,211.3,229.0,243.8,278.8,308.3
Wine,Standard,Russia,,0.8,1.3,2.8,3.5,5.0,6.0,9.0,8.0,6.0,7.5,10.0,12.0,14.0,21.5,37.8,59.3,97.8,136.8,124.7,171.5,292.6,345.2,367.6,427.5,277.7,280.3
Wine,Standard,Germany,80.0,85.0,98.0,89.0,96.5,84.5,91.8,90.0,92.8,99.5,107.1,113.0,113.2,118.4,137.3,135.7,136.6,146.0,168.0,165.3,182.2,224.5,246.8,277.5,293.5,285.5,279.0
Wine,Standard,United Kingdom,110.0,110.0,115.0,125.0,140.5,151.0,149.8,163.0,174.0,185.4,196.3,209.8,233.3,239.0,245.5,253.8,250.0,256.5,266.0,262.0,276.0,246.5,238.8,245.5,249.3,264.3,274.5
Wine,Standard,Czech Republic,,,,0.5,1.0,2.3,6.3,11.0,18.3,17.8,24.0,29.0,34.0,38.7,50.7,61.5,79.2,102.0,116.0,136.3,115.0,135.0,135.7,154.0,172.5,182.5,197.5
Wine,Standard,Canada,21.9,22.3,21.0,20.4,21.1,21.3,23.0,21.4,22.1,23.9,25.8,27.5,30.5,32.2,35.0,38.0,40.5,45.1,50.3,57.0,65.8,80.5,108.0,116.0,140.0,162.8,182.0
Wine,Standard,Bulgaria,0.0,0.0,0.3,0.3,0.5,0.5,0.5,0.5,2.8,9.0,17.8,24.9,37.2,43.1,48.3,50.0,61.2,89.9,121.7,117.1,131.1,143.1,145.6,149.9,161.0,158.5,169.2
Wine,Standard,Australia,9.0,8.0,9.5,11.5,18.5,24.0,33.8,37.3,42.2,44.0,46.0,47.0,48.5,55.5,59.8,60.8,64.3,63.0,59.5,68.1,72.3,80.8,84.2,91.4,103.4,107.3,114.0
Wine,Standard,Sweden,13.3,14.5,17.4,22.9,27.4,31.0,34.4,34.1,39.0,44.5,49.5,51.6,51.9,54.6,47.1,46.3,51.0,59.3,65.5,80.9,84.4,87.3,97.4,97.5,95.0,97.0,100.0
Wine,Standard,Poland,0.3,0.0,0.3,0.3,0.8,1.0,1.0,1.3,1.9,3.3,3.8,3.8,3.9,4.7,8.0,10.3,14.0,22.4,27.2,28.1,32.3,37.0,39.6,51.3,67.5,77.9,96.8
Wine,Standard,Portugal,1.8,2.4,2.5,2.9,3.8,4.2,8.7,14.6,21.2,27.0,32.6,40.8,44.9,53.2,59.1,62.3,63.8,75.8,81.8,81.5,91.5,96.2,91.9,95.3,93.1,103.1,95.2
Wine,Standard,Slovakia,,,,,0.0,0.3,0.8,1.8,0.8,1.6,1.7,2.0,2.7,3.9,5.1,5.3,5.8,6.8,7.5,10.9,12.7,18.6,27.2,34.3,46.2,61.3,75.5
Wine,Standard,DF Nordic Countries - (All Countries),19.0,28.0,29.5,31.5,31.8,33.5,34.3,29.0,38.2,40.0,26.4,32.7,28.3,27.5,28.2,29.8,32.8,44.0,56.1,52.3,57.0,70.7,72.5,75.6,76.4,69.8,72.9
Wine,Standard,Denmark,6.8,6.3,6.0,6.0,6.8,7.0,9.5,10.0,13.0,14.7,16.0,18.4,20.0,27.0,34.3,37.5,43.0,45.9,46.3,49.8,53.0,48.6,49.7,49.1,48.2,62.0,64.4
Wine,Standard,Netherlands,29.0,31.0,32.6,33.1,32.6,38.4,41.5,45.6,51.2,55.2,60.0,62.6,65.5,60.3,59.5,60.0,60.0,60.5,65.8,63.8,68.5,67.7,69.9,64.1,63.0,60.7,62.3
Wine,Standard,Latvia,,,0.0,0.3,0.5,0.8,1.3,2.5,4.0,7.3,6.8,7.0,6.3,12.5,15.9,23.8,33.6,54.3,60.3,30.5,34.4,38.9,43.9,56.0,58.4,60.2,60.8
Wine,Standard,Greece,5.0,6.0,9.0,14.0,17.0,20.0,29.0,34.0,35.5,39.3,43.5,44.3,46.0,45.5,45.8,45.8,45.5,46.3,44.5,43.1,37.3,36.5,38.5,44.3,47.8,51.9,60.5
Wine,Standard,DF Russia,,,,,,,,,,,,3.7,6.2,8.8,8.8,10.5,11.7,27.8,37.9,45.6,54.3,85.5,103.3,119.3,93.8,60.2,58.6
Wine,Standard,Ukraine,,,,,,0.0,0.0,0.3,0.2,0.2,0.0,0.3,0.3,0.5,3.3,4.8,6.8,14.0,18.8,17.6,22.5,32.8,47.8,53.5,56.7,49.2,54.5
Wine,Standard,DF British Isles (Inc. Ireland),109.0,121.0,123.0,150.5,167.8,194.0,201.0,205.2,214.0,128.3,91.5,93.5,67.0,72.5,78.2,86.5,85.8,76.3,67.0,58.2,57.5,52.6,46.2,50.3,46.0,46.2,48.7
Wine,Standard,DF Germany,12.5,11.0,11.0,16.0,19.7,21.0,27.0,27.5,23.0,14.5,10.3,18.3,20.3,22.0,23.8,26.0,29.0,32.1,38.5,32.2,39.5,40.5,35.3,39.4,41.9,40.2,45.6
Wine,Standard,Spain,3.0,3.0,4.0,5.0,8.8,9.8,17.3,21.0,28.0,34.3,45.3,65.8,75.5,77.5,80.3,81.5,86.3,78.5,67.5,62.5,58.0,59.3,45.8,44.3,42.3,42.5,42.7
Wine,Standard,DF US/Canada,22.0,20.0,18.0,10.3,8.8,8.8,10.0,10.0,11.7,13.5,15.5,13.2,16.5,18.0,18.2,18.5,19.8,24.0,30.5,19.6,30.5,41.6,47.9,40.2,52.3,30.7,42.5
Wine,Standard,Lithuania,,,,,,0.3,0.3,0.6,0.5,0.5,0.7,0.7,0.7,0.9,1.2,2.2,5.7,10.5,9.0,6.9,6.9,11.3,13.4,17.5,23.7,33.2,35.8
Wine,Standard,Norway,3.5,3.7,4.0,4.9,5.8,6.5,8.0,9.4,11.1,13.0,14.1,16.6,19.9,21.6,23.7,26.4,26.8,27.9,29.0,31.5,32.6,30.1,30.5,31.3,32.9,32.3,34.8
Wine,Standard,Japan,4.8,5.3,6.3,9.0,10.2,8.8,9.6,8.7,9.9,9.9,9.7,9.4,9.7,9.5,8.5,9.0,10.0,11.0,8.5,9.0,10.8,11.3,17.0,19.0,17.9,27.5,30.2
Wine,Standard,New Zealand,3.0,3.0,2.0,2.5,2.5,3.0,3.5,4.0,5.5,6.8,7.4,9.0,9.8,10.8,11.0,11.7,13.5,12.7,13.4,15.9,16.9,16.1,16.6,18.1,21.4,23.7,30.1
Wine,Standard,Italy,8.0,7.0,7.0,10.0,13.5,16.0,17.5,33.0,37.3,37.3,38.0,46.8,59.5,63.3,62.5,43.8,42.3,33.5,24.0,22.5,20.5,21.5,18.5,23.5,23.0,25.0,29.2
Wine,Standard,DF Rest of Africa,,,,,,,,,,,5.3,3.5,2.3,1.7,1.8,1.8,2.0,1.9,2.9,5.9,10.3,17.0,22.1,24.5,39.3,35.3,23.0
Wine,Standard,Finland,9.0,8.5,7.5,6.5,8.7,10.3,11.8,13.0,18.3,19.6,20.8,23.2,24.9,22.0,25.0,24.3,24.5,27.0,25.0,24.0,22.2,22.1,21.3,21.0,19.8,22.9,22.0
Wine,Standard,Austria,1.3,1.3,1.3,1.0,3.0,3.3,3.5,4.5,4.8,4.8,5.0,6.3,6.6,7.6,7.9,8.1,9.2,11.6,12.9,12.9,13.5,13.8,16.7,16.5,17.4,19.0,21.2
Wine,Standard,Estonia,,,0.3,0.5,1.3,2.3,2.6,2.9,4.7,3.5,4.5,4.6,4.3,3.8,6.0,6.5,7.8,9.4,9.3,8.2,8.4,11.6,14.0,19.6,21.4,23.1,21.0
Wine,Standard,Belgium and Luxembourg,5.0,5.0,6.0,6.0,6.0,7.5,8.0,10.0,11.3,12.6,14.9,18.0,21.1,21.5,21.5,21.5,23.8,21.3,22.3,22.8,21.5,22.5,23.5,24.8,23.3,23.3,20.5
Wine,Standard,Argentina,,,0.0,0.0,0.0,0.0,1.8,1.8,3.0,3.5,3.5,1.8,0.8,0.8,1.3,1.3,1.5,2.3,3.0,3.5,5.8,8.5,10.1,13.2,10.6,17.9,19.1
Wine,Standard,DF Rest of CIS,,,,,,,,,,,,,1.0,0.9,0.9,0.9,1.1,1.4,1.7,2.0,4.8,8.7,10.4,18.5,19.8,18.2,18.9
Wine,Standard,Romania,,,,,,,,,0.3,1.0,1.0,1.0,1.8,1.8,2.2,3.7,3.9,3.0,4.9,3.9,5.0,6.0,8.0,9.5,11.8,13.0,17.0
Wine,Standard,DF Australia,,,,,,,,,,,2.2,2.4,4.5,6.0,6.5,5.4,5.7,7.9,9.2,9.3,8.5,10.0,9.8,11.2,12.0,14.9,15.7
Wine,Standard,Hungary,0.3,0.3,0.3,0.5,1.0,1.3,2.5,3.8,5.0,5.5,6.0,5.0,5.8,6.0,6.9,7.3,8.7,10.2,10.4,8.3,9.0,9.8,10.8,10.7,13.0,14.3,15.4
Wine,Standard,DF Spain,,,,,3.3,4.9,6.2,6.0,6.8,5.2,5.9,7.0,4.7,8.3,10.3,11.5,12.5,13.5,15.3,13.5,13.9,16.9,12.3,12.1,12.1,13.1,15.0
Wine,Standard,Switzerland,3.5,3.5,3.5,3.0,4.5,4.3,4.5,3.5,4.0,5.5,5.7,6.7,6.8,7.5,7.5,7.3,7.3,7.5,9.3,9.1,9.2,10.0,9.9,9.6,11.2,11.3,14.6
Wine,Standard,DF Rest of Central & Eastern Europe,,,,,,,,,,,,2.7,1.0,0.9,1.0,1.3,1.6,2.2,2.9,3.1,5.3,8.9,9.6,10.5,13.6,14.0,14.3
Wine,Standard,Brazil,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,3.3,6.0,8.3,9.3,9.3,5.8,4.3,3.3,5.7,6.7,7.4,9.6,11.0,14.0
Wine,Standard,Canary Islands,1.5,1.8,1.8,1.5,1.5,1.5,1.5,2.0,2.0,3.0,4.8,8.3,9.3,14.3,13.3,12.5,12.5,9.5,9.7,7.0,7.4,5.9,7.2,7.7,9.7,10.4,11.5
Wine,Standard,Thailand,0.8,0.5,0.5,0.8,0.6,0.7,0.8,1.5,2.0,3.8,3.5,3.5,4.5,4.8,7.8,4.5,4.0,3.7,4.0,3.0,3.8,4.3,5.4,4.0,5.3,6.5,11.5
Wine,Standard,DF Turkey,,,,,,,,,,,1.3,1.1,1.0,2.0,2.0,2.2,2.1,2.2,6.9,7.1,8.3,13.2,14.1,11.8,13.6,10.4,11.5
Wine,Standard,DF Gulf - (All Countries),,,,,,,,,,,5.3,5.3,3.3,3.0,3.5,4.2,4.0,4.3,4.9,3.6,5.5,6.6,7.7,7.8,8.8,9.2,10.7
Wine,Standard,DF Netherlands,,,,,5.5,6.0,6.0,6.0,6.3,4.9,3.5,3.5,3.7,3.7,3.6,3.6,4.3,4.8,6.7,7.2,9.7,8.6,9.6,9.6,9.5,9.7,9.4
Wine,Standard,Others,42.3,45.4,46.6,50.0,56.4,58.9,61.5,62.4,69.1,61.6,54.1,57.3,53.7,62.7,64.5,71.6,81.2,87.6,97.5,87.7,110.0,145.1,140.5,145.7,138.5,133.4,158.2
Wine,Premium,Total ,126.8,140.3,136.9,144.8,161.5,169.6,196.1,205.4,210.4,197.7,194.6,211.5,213.3,192.6,191.8,189.3,208.3,221.6,241.9,217.9,249.4,275.3,288.8,318.0,368.5,482.6,651.7
Wine,Premium,United States,7.5,8.3,8.0,8.0,12.0,14.5,19.0,18.5,16.0,18.0,17.3,18.0,19.9,20.7,20.1,20.3,34.5,41.3,38.5,31.5,34.2,37.5,49.3,52.8,82.3,167.3,268.3
Wine,Premium,Ireland,32.0,33.0,30.0,32.0,31.0,29.0,30.2,31.7,32.3,35.1,34.8,37.5,36.6,30.8,29.9,28.3,25.7,27.2,24.2,22.6,26.0,28.1,24.6,24.7,31.4,46.4,57.6
Wine,Premium,Germany,0.0,0.0,0.0,0.0,0.3,0.8,2.8,3.4,2.9,3.7,4.6,5.7,5.7,6.5,7.6,7.8,8.4,10.7,10.2,10.6,12.7,18.6,19.0,28.8,33.3,40.4,43.5
Wine,Premium,France,,,,2.0,3.0,5.0,9.0,12.0,16.0,19.0,24.0,27.0,28.0,20.0,19.0,17.8,15.8,18.8,22.0,18.5,17.3,15.5,15.8,16.0,19.5,28.3,33.3
Wine,Premium,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.9,0.9,0.9,1.7,1.9,3.5,3.0,4.0,4.0,7.5,9.5,8.3,10.0,14.7,17.0,25.5
Wine,Premium,DF British Isles (Inc. Ireland),31.5,36.0,37.4,40.3,46.6,50.9,57.3,58.7,56.0,31.8,26.7,30.1,22.2,19.2,18.6,18.2,15.5,14.8,14.9,16.0,13.9,14.0,14.2,12.0,14.9,18.5,23.7
Wine,Premium,Canada,1.2,1.3,1.0,1.2,1.9,2.3,2.5,3.1,3.2,4.2,4.8,5.0,5.3,6.1,6.8,6.8,7.3,7.7,8.4,8.8,9.4,10.5,10.6,10.8,11.0,14.4,18.2
